cbgfa gedcb fgecab fbagdc
gbdf gbfd fgebac dfega
bcfdaeg cf fc gecabdf
dgb cbadg cagdb cfbd
ba eab cdgefa gcab
cbgefd defcg cbefdg eafgcdb
ecdfb fcegab badgefc dafb
cfgbdea fe abecd efc
cegfbd efg fgabd bedgacf
agdcbfe cfead fcdea ad
aceg eg ge ged
ed daebg egd gacfbe
gafdb edgaf bag edcagfb
fgcae eabg fdbcge agbe
ba bgeadfc cgdbea ab
ac gcdbafe ca fca
bed cgdebfa abdegf bfea
gcba ca bgdeaf afbdg
cdfea bagdef bcefd cdfae
bgd bdcafg bgd dbafcg
eg dge agfdec deg
bfdgcea fge fegbda cgdfba
fbgade eab efdcga egafdb
dbefc dbcef bfacd ce
ge dabgef bdfae dbefg
abgcd bcgda dceb fadegb
fc afedgb gfacbe afbdeg
ac dbgfaec fgaec agfdbec
edgfa fea gfdbe bgfeca
gcfe abdegc egfc bcagfe
agbc badef aefbd fcbdega
adbfegc edbga eafcd bca
gcfde cafebg aefgbc dafbc
dcafg bedf fdbe befd
daefbc bedga egadb decg
gf bfdac dbgf gf
baec gdacb afbcgd abegdc
feadcgb db bdec cgeabfd
gd gadbc gdbf cbagd
agbdc ge ged cfead
ba edcgb afbdec cadgebf
deagb egdacfb bfge fcdgae
dfcbge bfgdc acfb fa
eb faedc gbef gcbdfea
fgdbae fcgad fac fca
bc fgbdaec fedac gefba
edbagc cfbdea fbda edbcf
fabd bfdgae daegfc faegbcd
fb efdacg fb agbf
da da bfgae adfg
bad bad fgabde bd
ebagdc bd ecdb abedfgc
cf fec gfac gfbdeac
gdbf fb bfdaeg fegabc
cfgabed aecdgb fgeb fgcbad
adcefb dfacb adf agefbd
bfe edfbc dgefbca befdc
bfdgcea caed deacbg dbc
cfead ca befcd geabfd
dbcge bdeagfc cefdbag gca
bc cfgabd acgfb afegc
efdcbg agbef ef face
ce gdbae ceb dbafeg
fcgb gcdfba cab adbcef
edb bde bcefda gcedfa
cdga cfged afg ag
cbef cfgab bc gabfc
dabec fcag afgc fbcage
deb ebdfagc fabedc fgbecd
befdac ecbad fecab cegbda
fegab ae gbdef gcbedaf
gcdfae dbcfeg acgbe bgecf
cged gfdacb cegd abcedf
bdceagf fgdebac bgca gfcde
dgabf fbdag cg gc
bdgaf bfeag fe eagbdf
bcad bcefga db fbdae
bcgdfe dfga agebf dfga
dacefgb dfgcae gadefc bgc
bgca dfaecb gabc cabg
be efba aefb eb
bfdac eda aegcf gcfeba
faegd gbecfd gef fbgad
gdcebfa dge abdcg cafdgb
fbacdeg ad adeg beafdgc
egfbcd agcefb fbagce aegdbcf
gbadec dbacge fg gdfcaeb
agfed acgbdef egfda gadfbe
febadcg bcdg gdbc geacdf
bdfae cgaf bcadeg cf
acgbde afbedc edbacg cgd
fbdac bgecfd dcgab fc
bc cfgdeab cb cb
cf fdgbeca cgbdeaf eafdbg
ca cdegf ac cae
fgcabe eg dabgefc egf
becgafd edgcb egdbfa afdgbce
ecad ad adf agdcf
ea ea gbadf dgebacf
dfec acefb ef caedbfg
daegcfb dgae da decbfga
ebcg egbc cbfdae adegb
aefgc fadebc dcbf fde
bdgeca daebc dbcae ceg
fbc gfbecd fc cafg
afcged agefdc egcadf fbde
adec fgced cef ec
gacdbf gecbadf eagd efacd
bg cfagd cedbf gb
deagb cb cbd eadbg
fcg fcg bdfc fgc
cad febda dgeafb dfcabe
abdefc dbgce gdfbace bef
gacdfe afcged edbacf adebcf
ecgfadb egb abgdc gefdcb
cgaef efacdg cagfebd cefga
bagfdc bd dfb afdbge
dagcfbe bfade gbedac ab
abegfdc feag gbf geadcb
cad fabd acedf fcgbea
gfc cfg decbf gfc
deg cgfda de gde
adbf fadgbc gdfac dfba
bcgdafe df df dgaebc
bcadgf gfdea fdbecg fedab
fbcade cgfbea gc cg
dgefa fbdgae becfadg egf
agedf afb fb efdb
gbaf bdace dfb ceadgfb
de dgbface afdcb fead
ebcfgad afcbe gdfaeb dgcafe
ebgdf adfgbec cdabgfe fegac
feb cgdef bace be
cadge dea eda bafgce
fda begfdca agdfebc fcdg
cbgda fdcgae bgafd efgabcd
dbface eg cedgb edg
gdbcf degcba bafcd fa
dfabg adb dab fdac
gdeba afegb ef gfecbd
baced ebagcfd fbdga ceaf
fabecgd bge geb afgb
cdgae edfb afcdeb gecda
de ed ebd bcagfe
afgc fbc cf gbfec
cbadfe abgdc de agcdb
efdgca acdfe dcgaf adfcg
fgedbc daebf efdba ceafb
gdbef gecda gab acbfeg
bdgefac bde agbd agbfedc
bef facde fdcea aecb
aebdgf eabgfd dbcefa edagf
gcbdf cabdgf fd ecdbg
af fcga dcbef baf
fcdae ed befd eda
cf bfgeac gdacbf agfde
egfcdb bfacg fa gbdeafc
eagdcf bgcfde acdfg ac
cdbg fdcgeba bgfcae cegad
gf gebcaf agf bedcfga
gfeda efbagd defgb fbg
bacegd gfdce fe adbgec
egb egb cdabfe dgef
aecbgd becgfda gbda fdabce
gcdeba feagd edf cagbed
gda fdbac dcfbae fdbg
degaf fcd cbfgdea ecbdafg
cefga eagbc acbedg acf
fdcga adefbcg efgd cgdafb
egcdba da ecbfga ecgbad
dfg cgfa afcg fedac
aedcg dgcef dcbaeg edf
dfec fegdba gef cfde
cbaegdf daf agfdce ebfacgd
agfc abgcfd cgd acbgfd
dbag gb bg dgab
bdacfeg gacedb cdegfa agdfc
efda gfeacbd ea deagbc
bed ebacdg gcfabde fceab
ba gdacef fgacde cbafged
efagdc ab ba egfad
gdcebaf edgcb aedfgcb efacdgb
gafce ecg cge egfbadc
becfad gc gdaec dgbc
fegbdca dga fgcedb cgdeba
fgbeda eadfb fgd agcfe
gbfad cfg eacdgf dfeagc
ad cfbga edgfb ebdfca
adfce bfcd cabedf cfdb
dab agdefb cfadbe dba
gefbd gbecda egdcaf ebcag
acegb defgcba cbaed cebdfag
cg dgc fcge acbegd
gbcaed bgefcda eacd efagcb
cgef gfce ce cea
ag ag cag afge
bcfga cfebg cge bdcef
egbfdc aecgd fgdca cabdegf
baefg faebg fdgcbe bgdecf
fgbdce gdfacb bfc egbc
